,,,,,,EXTINTORES DE PLANTA,,,,,,,,,,,,,,,,
,Orden,LOTE,RESPONSABLE,EDIFICO,UBICACIÓN,TIPO,CLASE,CAP.,VTO DE CARGA,VTO PH,BALIZA,CARTEL EN ALTURA,DEMARCACIÓN DE PISO,NRO INTERNO,NRO FABRICACIÓN,AÑO,MARCA,ESTADO,RESERVA,ORIGEN RESERVA,VENCIMIENTO DE LA RESERVA,EMPRESA DE MANTENIMIENTO
,1,LOTE 101,,Chapisteria,Chapa - Sub Estación Chica,CO2,BC,10 Kg,11/2020,11/2023,,,,201,855891,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,2,LOTE 101,,Chapisteria,Chapa - Sub Estación Chica,CO2,BC,10 Kg,11/2020,11/2023,,,,202,855849,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,3,LOTE 101,,Chapisteria,Chapa - Sub Estación Chica,CO2,BC,10 Kg,11/2020,11/2023,,,,203,855855,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,4,LOTE 101,,Chapisteria,Chapa - Sub Estación Grande,CO2,BC,10 Kg,11/2020,11/2023,,,,204,855885,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,5,LOTE 101,,Chapisteria,Chapa - Sub Estación Grande,CO2,BC,10 Kg,11/2020,11/2023,,,,205,853280,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,6,LOTE 101,,Chapisteria,Chapa - Sub Estación Grande,CO2,BC,10 Kg,11/2020,11/2023,,,,206,855897,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,7,LOTE 101,,Chapisteria,Chapa - Col. A/04,CO2,BC,3.5 Kg,11/2020,11/2023,,,,207,855700,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,8,LOTE 101,,Chapisteria,Chapa - Col. A/12,CO2,BC,3.5 Kg,11/2020,11/2023,,,,208,855682,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,9,LOTE 101,,Chapisteria,Chapa - Col. A/18,CO2,BC,3.5 Kg,11/2020,11/2023,,,,209,855555,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,10,LOTE 101,,Chapisteria,Chapa - Col. A/26,CO2,BC,3.5 Kg,11/2020,11/2024,,,,210,855678,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,11,LOTE 101,,Chapisteria,Chapa - Col. B/06,CO2,BC,3.5 Kg,11/2020,11/2023,,,,211,855551,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,12,LOTE 101,,Chapisteria,Chapa - Col. B/08,AFFF,AB,10 Lts,11/2020,11/2020,,,,212,468257,2018,Melisam,En planta,,#N/A,#N/A,Cassaro
,13,LOTE 101,,Chapisteria,Chapa - Col. B/14,CO2,BC,3.5 Kg,11/2020,11/2023,,,,213,855688,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,14,LOTE 101,,Chapisteria,Chapa - Col. B/20,CO2,BC,3.5 Kg,11/2020,11/2023,,,,214,855589,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,15,LOTE 101,,Chapisteria,Chapa - Almacén,CO2,BC,10 Kg,12/2020,12/2023,,,,215,858292,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,16,LOTE 101,,Chapisteria,Chapa - Col. B/02,AFFF,AB,10 Lts,11/2020,11/2020,,,,216,468842,2018,Melisam,En planta,,#N/A,#N/A,Cassaro
,17,LOTE 101,,Chapisteria,Chapa - Col. C/00,POLVO,ABC,10 Kg,9/2020,9/2023,,,,217,624796,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,18,LOTE 101,,Chapisteria,Chapa - Col. C/02,CO2,BC,3.5 Kg,11/2020,11/2023,,,,218,855662,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,19,LOTE 101,,Chapisteria,Chapa - Col. C/04,AFFF,AB,10 Lts,11/2020,11/2023,,,,219,468631,2018,Melisam,En planta,,#N/A,#N/A,Cassaro
,20,LOTE 101,,Chapisteria,Chapa - Col. C/08,CO2,BC,3.5 Kg,11/2020,11/2023,,,,220,855572,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,21,LOTE 101,,Chapisteria,Chapa - Col. C/16,CO2,BC,3.5 Kg,11/2020,11/2023,,,,221,855665,2018,Drago,En planta,,#N/A,#N/A,Cassaro
