,EXTINTORES DE RESERVA,,,,,,,,,,,,,
,ESTANTERÍA,TIPO,CLASE,CAP.,VTO DE CARGA,VTO PH,NRO FABRICACIÓN,AÑO,MARCA,EMPRESA DE MANTENIMIENTO,ESTADO,LOTE,EDIFICIO,UBICACIÓN
468002,G-21,AFFF,BC,10 Lts,11/2020,11/2020,468002,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
468164,G-21,AFFF,BC,10 Lts,11/2020,11/2020,468164,2018,Melisam,Cassaro,En reserva,,#N/A,#N/A
300301,G-21,AFFF,BC,10 Lts,11/2020,11/2020,300301,2018,Melisam,Cassaro,En reserva,LOTE 95,Isla Ecológica,Galp. Arg. Prensa
468411,G-21,AFFF,BC,10 Lts,11/2020,11/2020,468411,2018,Melisam,Cassaro,En reserva,,#N/A,#N/A
468028,G-21,AFFF,BC,10 Lts,11/2020,11/2020,468028,2018,Melisam,Cassaro,En reserva,,#N/A,#N/A
300147,G-21,AFFF,BC,10 Lts,11/2020,11/2020,300147,2018,Melisam,Cassaro,En reserva,,#N/A,#N/A
468310,G-21,AFFF,BC,10 Lts,11/2020,11/2020,468310,2018,Melisam,Cassaro,En reserva,,#N/A,#N/A
692,G-21,AFFF,BC,10 Lts,5/2021,5/2021,692,2010,Cassaro,Cassaro,En reserva,LOTE 95,Depósito de combustibles CNHIndustrial-FPT-Norte-,Dep. Comb. Norte
34732,G-21,AFFF,BC,10 Lts,5/2021,5/2021,34732,2010,Cassaro,Cassaro,En reserva,,#N/A,#N/A
468855,G-21,AFFF,BC,10 Lts,8/2021,8/2022,468855,2018,Melisam,Cassaro,En reserva,,#N/A,#N/A
468423,G-21,AFFF,BC,10 Lts,8/2021,8/2022,468423,2018,Melisam,Cassaro,En reserva,,#N/A,#N/A
468247,G-21,AFFF,BC,10 Lts,8/2021,8/2022,468247,2018,Melisam,Cassaro,En reserva,,#N/A,#N/A
300310,G-21,AFFF,BC,10 Lts,8/2021,8/2022,300310,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
414,G-22,AFFF,BC,10 Lts,7/2021,7/2021,414,2010,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
395,G-22,AFFF,BC,10 Lts,11/2020,11/2021,395,2010,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
370,G-22,AFFF,BC,10 Lts,12/2020,12/2021,370,2010,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
628,G-22,AFFF,BC,10 Lts,11/2020,11/2021,628,2010,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
3550,G-22,AFFF,BC,10 Lts,7/2021,7/2021,3550,2010,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
525,G-22,AFFF,BC,10 Lts,12/2020,12/2020,525,2010,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
382,G-22,AFFF,BC,10 Lts,12/2020,12/2020,382,2010,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
632,G-22,AFFF,BC,10 Lts,11/2020,11/2021,632,2010,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
341,G-22,AFFF,BC,10 Lts,11/2020,11/2020,341,2010,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
591,G-22,AFFF,BC,10 Lts,11/2020,11/2020,591,2010,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
3388,G-22,AFFF,BC,10 Lts,7/2021,7/2022,3388,2018,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
385,G-22,AFFF,BC,10 Lts,12/2020,12/2020,385,2010,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
3507,G-22,AFFF,BC,10 Lts,11/2020,11/2020,3507,2010,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
224,G-22,AFFF,BC,10 Lts,11/2020,11/2021,224,2010,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
391,G-22,AFFF,BC,10 Lts,11/2020,11/2020,391,2010,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
686,G-22,AFFF,BC,10 Lts,11/2020,11/2021,686,2010,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
689,G-22,AFFF,BC,10 Lts,11/2020,11/2020,689,2010,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
202,G-22,AFFF,BC,10 Lts,11/2020,11/2020,202,2010,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
557,G-22,AFFF,BC,10 Lts,11/2020,11/2021,557,2010,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
451,G-22,AFFF,BC,10 Lts,11/2020,11/2021,451,2010,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
473,G-22,AFFF,BC,10 Lts,11/2020,11/2021,473,2010,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
306,G-22,AFFF,BC,10 Lts,11/2020,11/2021,306,2010,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
608,G-22,AFFF,BC,10 Lts,8/2021,8/2022,608,2010,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
3401,G-22,AFFF,BC,10 Lts,8/2021,8/2021,3401,2010,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
266,G-22,AFFF,BC,10 Lts,7/2021,7/2021,266,2010,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
468,G-22,AFFF,BC,10 Lts,7/2021,7/2022,468,2010,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
256,G-22,AFFF,BC,10 Lts,7/2021,7/2021,256,2010,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
376,G-21,AFFF,BC,10 Lts,7/2021,7/2022,376,2018,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
502,G-21,AFFF,BC,10 Lts,5/2021,5/2021,502,2010,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
322,G-21,AFFF,BC,10 Lts,8/2021,8/2021,322,2010,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
564,G-21,AFFF,BC,10 Lts,8/2021,8/2021,564,2010,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
300103,G-21,AFFF,BC,10 Lts,11/2020,11/2020,300103,2018,Melisam,Cassaro,En reserva,LOTE 95,Unidad de Cajas.,Col. C / 13
468095,G-21,AFFF,BC,10 Lts,11/2020,11/2020,468095,2018,Melisam,Cassaro,En reserva,LOTE 95,Unidad de Tratamientos Térmicos,Sub.Suelo T/Térmico
300231,G-21,AFFF,BC,10 Lts,11/2020,11/2020,300231,2018,Melisam,Cassaro,En reserva,LOTE 95,Unidad de Cajas.,Col. D / 07
300176,G-21,AFFF,BC,10 Lts,11/2020,11/2020,300176,2018,Melisam,Cassaro,En reserva,LOTE 95,Unidad de Tratamientos Térmicos,Sub.Suelo T/Térmico
467463,G-21,AFFF,BC,10 Lts,11/2020,11/2020,467463,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
467085,G-21,AFFF,BC,10 Lts,11/2020,11/2020,467085,2010,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
